All Layer Optical Constants
Wavelength (nm)	n, a-Si parameterized	k, a-Si parameterized
381.277405	3.945787	1.677078	
382.449768	3.952425	1.663265	
383.629333	3.958910	1.649379	
384.816223	3.965240	1.635421	
386.010468	3.971414	1.621396	
387.212189	3.977430	1.607304	
388.421387	3.983288	1.593149	
389.638153	3.988985	1.578935	
390.862579	3.994521	1.564663	
392.094727	3.999894	1.550336	
393.334656	4.005103	1.535958	
394.582458	4.010148	1.521531	
395.838196	4.015027	1.507059	
397.101959	4.019739	1.492543	
398.373810	4.024283	1.477988	
399.653870	4.028660	1.463395	
400.942108	4.032867	1.448769	
402.238739	4.036905	1.434112	
403.543762	4.040773	1.419427	
404.857300	4.044470	1.404717	
406.179382	4.047996	1.389986	
407.510193	4.051351	1.375236	
408.849670	4.054535	1.360471	
410.198059	4.057547	1.345693	
411.555267	4.060387	1.330907	
412.921570	4.063055	1.316113	
414.296967	4.065551	1.301316	
415.681549	4.067876	1.286520	
417.075378	4.070029	1.271727	
418.478668	4.072012	1.256939	
419.891357	4.073823	1.242161	
421.313660	4.075464	1.227394	
422.745605	4.076936	1.212643	
424.187347	4.078238	1.197910	
425.638916	4.079370	1.183199	
427.100494	4.080336	1.168511	
428.572113	4.081133	1.153850	
430.053955	4.081765	1.139219	
431.545990	4.082231	1.124621	
433.048523	4.082532	1.110058	
434.561462	4.082670	1.095534	
436.085114	4.082645	1.081051	
437.619385	4.082459	1.066612	
439.164551	4.082113	1.052220	
440.720612	4.081608	1.037877	
442.287781	4.080945	1.023586	
443.866119	4.080126	1.009349	
445.455811	4.079152	0.995169	
447.056824	4.078025	0.981050	
448.669495	4.076746	0.966992	
450.293793	4.075317	0.952998	
451.929932	4.073740	0.939071	
453.577942	4.072015	0.925214	
455.238098	4.070145	0.911427	
456.910339	4.068132	0.897715	
458.595032	4.065977	0.884077	
460.292084	4.063682	0.870519	
462.001801	4.061248	0.857039	
463.724274	4.058679	0.843642	
465.459625	4.055975	0.830329	
467.208008	4.053139	0.817101	
468.969574	4.050173	0.803961	
470.744476	4.047079	0.790911	
472.532867	4.043858	0.777951	
474.334900	4.040513	0.765085	
476.150696	4.037046	0.752313	
477.980530	4.033459	0.739637	
479.824371	4.029754	0.727060	
481.682556	4.025933	0.714580	
483.555237	4.021998	0.702202	
485.442474	4.017952	0.689925	
487.344482	4.013797	0.677752	
489.261536	4.009535	0.665683	
491.193665	4.005168	0.653720	
